Précipitations (mm),Valeur (en m),discharge
0.0,2.41,45.14
0.0,2.41,45.14
0.7,2.41,45.14
0.0,2.40,45.14
0.0,2.63,45.14
0.0,2.83,45.14
0.0,2.85,45.14
0.0,2.39,45.14
0.0,2.42,44.81
0.0,2.42,44.81
0.0,2.40,44.81
0.0,2.40,44.81
0.0,2.60,44.81
0.0,2.54,44.81
0.0,2.27,44.81
0.0,2.39,44.81
0.0,2.39,44.81
0.0,2.39,44.81
0.0,2.38,44.81
0.0,2.63,44.81
0.0,2.80,44.81
0.0,2.33,44.41
0.0,2.38,44.41
0.0,2.45,44.41
0.0,2.47,44.41
0.3,2.54,44.41
0.7,2.45,44.41
0.0,2.41,44.41
0.0,2.41,44.41
0.1,2.38,44.41
0.0,2.54,44.41
0.0,2.68,44.41
0.0,2.56,44.41
0.0,2.34,44.08
3.3,2.35,44.08
9.6,2.40,44.08
0.3,2.45,44.08
0.5,2.48,44.08
0.5,2.44,44.08
0.3,2.43,44.08
1.0,2.43,44.08
1.1,2.41,44.08
0.5,2.40,44.08
1.5,2.39,44.08
0.1,2.36,44.08
0.0,2.44,44.08
0.0,2.37,44.15
0.0,2.40,44.15
0.0,2.42,44.15
0.0,2.42,44.15
0.0,2.41,44.15
0.0,2.39,44.15
0.0,2.38,44.15
0.0,2.44,44.15
0.0,2.47,44.15
0.0,2.51,45.28
0.0,2.38,45.28
0.0,2.38,45.28
0.0,2.39,45.28
0.0,2.37,45.28
0.0,2.39,45.28
0.0,2.49,44.28
0.0,2.45,44.28
0.0,2.38,44.28
0.1,2.37,44.28
0.2,2.38,44.28
0.0,2.46,44.28
0.3,2.43,44.28
0.0,2.40,44.28
0.0,2.45,44.45
0.2,2.45,44.45
1.6,2.41,44.45
3.2,2.41,44.45
0.2,2.41,44.45
0.3,2.42,44.45
0.0,2.53,44.45
0.0,2.41,44.78
0.0,2.42,44.78
0.0,2.48,44.78
0.0,2.56,44.78
0.0,2.44,44.78
0.0,2.40,44.78
0.0,2.40,44.78
0.0,2.41,44.78
0.0,2.47,44.78
0.0,2.53,44.78
0.0,2.48,44.78
0.0,2.40,44.78
0.0,2.40,44.78
0.0,2.41,43.95
0.0,2.51,43.95
0.0,2.54,43.95
0.0,2.43,43.95
0.0,2.40,43.95
0.0,2.41,43.95
0.0,2.46,43.95
0.0,2.53,43.95
0.0,2.49,43.95
0.0,2.39,43.26
0.0,2.55,43.26
0.0,2.45,43.26
0.0,2.43,43.26
0.0,2.41,43.26
0.0,2.39,43.26
0.0,2.38,43.26
0.0,2.38,43.26
0.0,2.44,43.26
0.0,2.48,43.26
0.0,2.51,43.26
0.0,2.54,43.26
0.0,2.47,43.26
0.0,2.44,43.26
0.0,2.38,42.73
0.0,2.51,42.73
0.0,2.43,42.73
0.0,2.40,42.73
0.0,2.39,42.73
0.0,2.37,42.73
0.0,2.37,42.73
0.1,2.55,42.73
0.0,2.73,42.73
0.0,2.72,42.73
0.0,2.55,42.73
0.0,2.37,42.73
0.2,2.38,42.27
0.4,2.38,42.27
0.0,2.38,42.27
0.0,2.43,42.27
0.0,2.48,42.27
0.0,2.51,42.27
0.0,2.47,42.27
2.8,2.38,42.27
0.4,2.38,42.27
0.0,2.39,42.27
0.0,2.81,42.27
0.0,2.51,42.27
0.0,2.39,42.27
0.0,2.39,42.27
0.0,2.46,41.89
2.4,2.49,41.89
0.0,2.39,41.89
0.2,2.38,41.89
4.1,2.53,41.89
0.0,2.72,41.89
5.2,2.38,41.89
0.9,2.37,41.89
0.2,2.47,43.18
0.3,2.52,43.18
0.3,2.52,43.18
2.0,2.48,43.18
0.4,2.59,43.18
0.0,2.76,43.18
0.0,2.35,43.18
0.0,2.45,50.79
0.1,2.43,50.79
0.0,2.48,50.79
1.6,2.40,49.21
0.2,2.43,49.21
0.1,2.43,49.21
0.1,2.44,49.21
0.1,2.44,49.21
0.0,2.46,55.61
0.0,2.45,55.61
0.0,2.43,60.38
0.0,2.42,60.38
0.0,2.41,60.38
0.0,2.40,60.38
0.0,2.41,62.24
0.0,2.38,63.57
0.0,2.39,63.57
0.0,2.39,63.57
0.0,2.39,63.57
0.0,2.38,61.66
0.0,2.37,61.66
0.0,2.36,57.48
0.0,2.35,52.95
0.0,2.40,52.95
0.0,2.42,52.95
0.0,2.39,52.95
0.0,2.37,49.01
0.0,2.37,49.01
0.0,2.38,49.01
0.0,2.44,49.01
0.0,2.38,49.01
0.0,2.36,46.16
0.1,2.32,46.16
0.1,2.36,46.16
0.0,2.39,44.17
0.0,2.42,44.17
0.0,2.38,44.17
0.0,2.36,44.17
0.0,2.35,44.17
0.0,2.61,44.17
0.0,2.39,42.76
0.0,2.40,42.76
0.4,2.37,42.76
0.0,2.43,42.76
0.0,2.92,42.76
0.0,2.38,41.95
0.1,2.34,41.95
0.0,2.39,41.95
0.1,2.41,41.95
0.0,2.39,41.95
0.1,3.00,41.95
0.2,2.53,41.95
0.0,2.48,41.95
0.0,2.47,41.56
0.0,2.46,41.56
0.1,2.41,41.56
0.5,2.63,41.56
0.0,2.77,41.56
0.0,2.36,41.56
0.0,2.39,41.56
0.0,2.65,41.56
0.0,2.42,41.27
0.0,2.68,41.27
0.0,2.35,41.27
0.0,2.37,41.27
0.0,2.37,41.27
0.0,2.64,41.27
0.0,2.87,41.27
0.0,2.94,41.27
0.0,2.77,41.27
0.0,2.44,40.98
0.0,2.40,40.98
0.0,2.50,40.98
0.0,2.55,40.98
0.0,2.24,40.98
2.6,2.40,40.98
0.0,2.81,40.98
0.0,2.86,40.98
0.0,2.38,40.6
0.0,2.41,40.6
0.0,2.36,40.6
0.0,2.35,40.6
0.0,2.59,40.6
0.0,2.32,40.21
1.2,2.33,40.21
13.2,2.38,40.21
0.0,2.39,40.21
0.0,2.34,40.21
0.0,2.34,40.21
0.0,2.34,40.21
0.0,2.39,40.55
0.0,2.34,40.55
0.0,2.34,41.46
0.2,2.34,41.46
0.0,2.35,41.46
0.0,2.36,41.56
0.1,2.36,41.56
0.0,2.36,41.56
0.0,2.36,41.46
0.0,2.37,41.46
0.0,2.35,40.96
0.0,2.34,40.96
0.0,2.34,40.96
0.0,2.36,40.96
0.0,2.37,40.96
0.8,2.34,40.21
0.0,2.37,40.21
0.0,2.42,40.21
0.0,2.34,39.66
0.0,2.34,39.66
0.0,2.38,39.66
0.0,2.37,39.36
0.0,2.37,39.36
0.0,2.35,39.36
0.0,2.34,39.36
0.0,2.34,39.36
0.0,2.66,39.36
0.0,2.34,39.36
0.0,2.37,39.95
0.0,2.38,39.95
0.0,2.48,39.95
0.0,2.27,39.95
0.0,2.34,39.95
0.0,2.53,38.37
0.0,2.37,38.17
0.0,2.39,38.17
0.0,2.38,38.17
0.0,2.32,38.17
0.0,2.32,38.17
0.0,2.32,38.17
0.0,2.59,38.17
0.0,2.33,38.17
0.0,2.33,38.08
0.1,2.33,38.08
0.0,2.57,38.08
0.0,2.25,38.08
0.0,2.32,37.64
0.0,2.33,37.64
0.0,2.37,37.64
0.0,2.41,37.64
0.0,2.33,37.64
0.0,2.32,37.64
0.0,2.32,37.64
0.0,2.33,37.64
0.0,2.33,37.19
0.0,2.32,37.19
0.2,2.33,36.76
0.0,2.33,36.76
0.0,2.32,36.25
0.0,2.35,36.25
0.0,2.36,36.25
0.0,2.32,35.85
0.2,2.36,35.85
0.0,2.36,35.85
0.0,2.33,35.55
0.1,2.33,35.31
0.6,2.36,35.31
0.0,2.34,35.31
0.2,2.33,35.07
0.0,2.39,34.9
0.1,2.32,34.9
0.0,2.32,34.9
0.0,2.35,34.9
0.0,2.33,34.9
0.0,2.32,34.9
0.0,2.32,34.89
0.0,2.34,34.89
0.0,2.39,34.89
0.0,2.36,34.89
0.0,2.32,34.89
0.0,2.83,34.89
0.0,2.32,34.89
0.0,2.36,34.89
0.0,2.85,35.39
0.0,2.40,35.39
0.0,2.36,35.39
0.0,2.36,35.39
0.0,2.34,35.39
0.0,3.00,35.39
0.0,2.42,35.39
0.1,2.33,35.64
0.0,2.63,35.64
0.0,2.92,35.64
1.2,2.38,35.64
0.1,2.67,35.64
0.0,3.05,35.64
0.0,2.41,35.64
0.0,2.48,35.53
0.2,2.45,35.53
0.1,2.88,35.53
0.0,2.53,35.53
0.8,2.33,35.53
0.6,2.40,35.53
0.1,2.39,35.53
0.2,3.01,35.53
0.0,2.93,35.53
3.1,2.43,35.21
0.0,2.52,35.21
0.0,2.36,35.21
0.1,2.39,35.21
0.0,2.42,35.21
0.0,3.00,35.21
0.0,3.00,35.21
0.0,2.79,35.21
0.0,2.62,35.21
0.0,2.40,25.47
0.0,2.75,25.47
0.0,2.81,25.47
0.1,2.26,25.47
0.1,2.33,25.47
0.1,2.39,25.47
0.0,2.53,25.47
0.0,2.47,17.82
0.0,2.39,17.82
0.0,2.38,17.82
0.0,2.60,17.82
0.0,2.24,17.82
0.0,2.55,17.82
0.0,2.73,17.82
0.0,2.62,17.82
0.0,2.49,15.87
0.0,2.48,15.87
0.0,2.42,15.87
0.0,2.36,15.87
0.0,2.34,15.87
0.0,2.41,14.03
0.0,2.41,14.03
0.0,2.38,14.03
0.0,2.40,12.21
0.0,2.40,12.21
0.0,2.41,12.21
0.0,2.39,10.53
0.0,2.39,10.53
0.0,2.37,9.11
0.0,2.39,9.11
0.0,2.33,7.85
0.0,2.33,7.85
0.0,2.32,9.37
0.0,2.34,9.37
0.0,2.33,9.37
0.0,2.32,9.37
0.0,2.39,6.21
0.0,2.39,5.34
0.0,2.65,5.34
0.0,2.51,5.34
0.0,2.30,5.34
0.0,2.34,5.34
0.0,2.36,5.34
0.0,2.39,4.9
0.0,2.51,4.9
0.0,2.36,17.88
0.0,2.38,17.88
0.0,2.62,17.88
0.0,2.26,17.88
0.0,2.36,17.88
0.0,2.37,17.88
0.0,2.78,17.88
0.0,2.43,14.28
0.1,2.32,14.28
0.0,2.31,14.28
0.0,2.36,14.28
0.0,2.79,14.28
0.0,2.28,14.28
0.0,2.34,14.28
0.0,2.37,12.33
0.0,2.42,12.33
3.6,2.68,12.33
0.0,2.28,12.33
0.0,2.33,12.33
0.0,2.38,12.33
0.0,2.41,12.33
0.0,2.32,12.33
0.0,2.35,12.33
0.0,2.52,10.68
0.0,2.53,10.68
0.0,2.35,10.68
0.0,2.38,9.14
0.0,2.38,9.14
0.0,2.37,7.65
0.0,2.36,7.65
0.0,2.42,7.65
0.0,2.43,7.65
0.0,2.36,6.52
0.0,2.38,6.52
0.0,2.40,6.52
0.0,2.37,6.52
0.0,2.37,6.52
0.0,2.35,5.58
0.0,2.36,5.58
0.0,2.38,5.58
0.0,2.37,5.58
0.0,2.38,5.58
0.0,2.39,5.58
0.0,2.40,4.88
0.0,2.40,4.88
0.0,2.41,4.88
0.0,2.36,4.25
0.0,2.36,4.25
0.0,2.37,4.25
0.0,2.36,4.25
0.0,2.39,3.66
0.2,2.39,3.66
0.0,2.37,3.66
0.2,2.38,3.57
0.0,2.40,3.57
0.0,2.43,3.57
0.0,2.46,3.57
0.0,2.37,3.57
0.0,2.37,3.45
0.0,2.38,3.45
0.0,2.41,3.4
0.0,2.30,3.4
0.1,2.42,3.4
0.0,2.40,3.4
0.0,2.90,3.4
0.0,2.91,3.4
0.0,2.67,3.4
0.0,2.40,3.24
0.0,2.41,3.24
0.0,2.90,3.24
0.2,2.34,3.24
0.2,2.39,3.24
0.0,3.12,3.24
0.0,2.93,3.24
0.0,2.32,3.09
0.1,2.83,3.09
0.0,2.85,3.09
0.1,2.32,3.09
0.0,2.42,3.09
0.9,2.42,3.12
0.2,2.43,3.12
0.0,2.94,3.12
0.0,2.93,3.12
0.0,2.16,3.12
0.2,2.55,3.12
0.1,2.85,3.12
0.0,2.35,3.58
0.0,2.26,3.58
0.0,2.38,3.58
0.0,2.70,3.58
0.0,2.15,3.58
0.0,2.28,3.58
0.0,2.93,3.58
0.0,2.32,4.37
0.0,2.35,4.37
0.0,2.35,4.37
0.0,2.37,4.37
0.0,2.48,4.37
0.0,2.11,4.37
0.0,2.22,4.37
0.0,2.27,4.37
0.0,2.59,4.37
0.0,2.77,4.37
0.0,2.31,3.91
0.0,2.40,3.91
0.0,2.35,3.91
0.0,2.32,3.91
0.0,2.35,3.7
0.0,2.35,3.7
0.0,2.34,3.7
0.0,2.38,3.7
0.0,2.38,3.7
0.0,2.35,3.33
0.0,2.34,3.33
0.0,2.34,3.33
0.0,2.35,3.33
0.0,2.36,2.98
0.0,2.38,2.68
0.0,2.37,2.68
0.0,2.37,2.68
0.0,2.37,2.68
0.0,2.35,2.4
0.0,2.35,2.4
0.0,2.35,2.18
0.1,2.38,2.18
0.0,2.33,2.18
0.1,2.39,2.18
0.0,2.37,2.18
3.0,2.35,3.51
0.2,2.35,3.51
0.0,2.42,3.51
0.0,2.43,3.51
0.0,2.35,12.66
0.0,2.34,12.66
0.1,2.37,12.66
0.1,2.37,12.66
0.0,2.27,12.66
0.0,2.30,6.95
0.0,2.38,6.95
0.0,2.36,6.95
0.0,2.35,6.95
0.0,2.80,6.95
0.0,2.43,6.95
0.0,2.22,6.95
0.0,2.75,9.47
0.0,2.23,9.47
0.0,2.38,9.47
4.1,2.82,9.47
0.0,2.31,9.47
0.0,2.31,9.47
0.2,2.40,9.08
0.0,2.32,9.08
0.0,2.38,9.08
0.0,2.44,9.08
0.0,2.88,9.08
0.0,2.85,8.73
5.4,2.64,8.73
0.0,2.86,8.73
0.0,2.34,8.73
0.0,2.33,9.48
0.0,2.40,9.48
0.0,2.51,9.48
0.0,2.81,9.48
0.0,2.58,9.48
0.0,2.38,9.48
0.1,2.32,9.48
1.2,2.33,9.48
0.0,2.74,9.48
0.0,2.57,9.48
0.0,2.25,9.48
0.0,2.40,15.84
0.0,2.60,15.84
0.0,2.75,15.84
0.0,2.60,15.84
0.2,2.24,15.84
0.0,2.44,15.84
0.0,2.44,27.67
0.0,2.38,27.67
0.0,2.35,27.67
0.0,2.33,27.67
0.0,2.33,27.67
0.0,2.36,27.67
0.1,2.36,21.23
0.0,2.39,21.23
0.0,2.38,25.06
0.0,2.37,25.06
0.1,2.38,25.06
0.1,2.37,25.06
0.0,2.35,31.54
0.0,2.34,31.54
0.0,2.34,31.54
0.0,2.35,29.98
0.0,2.35,29.98
0.0,2.35,29.98
0.0,2.35,29.98
0.0,2.36,25.18
0.0,2.37,25.18
0.0,2.34,20.63
0.0,2.39,20.63
0.0,2.58,20.63
0.0,2.25,20.63
0.0,2.38,16.95
0.0,2.46,16.95
0.0,2.64,16.95
0.0,2.35,16.95
0.0,2.37,16.95
0.0,2.61,16.95
0.0,2.89,16.95
0.0,2.98,16.95
0.0,2.32,16.95
0.0,2.33,16.95
0.0,2.36,14.1
0.0,2.64,14.1
0.0,2.23,14.1
0.0,2.37,14.1
0.0,2.69,14.1
0.0,2.96,14.1
0.0,2.86,14.1
0.0,2.33,14.1
0.0,2.40,11.82
0.0,2.39,11.82
0.0,2.55,11.82
0.0,2.58,11.82
0.0,2.18,11.82
0.0,2.31,11.82
0.0,2.32,11.82
0.0,2.40,11.82
0.0,3.10,11.82
0.0,2.80,11.82
0.0,2.20,11.82
0.0,2.28,9.94
0.0,2.89,9.94
0.0,2.89,9.94
0.0,2.17,9.94
0.0,2.34,9.94
0.0,2.52,9.94
0.0,2.28,8.42
0.0,2.30,8.42
0.0,2.35,8.42
0.0,2.39,8.42
0.0,2.93,8.42
0.0,2.79,8.42
0.0,2.23,8.42
0.0,2.92,8.42
0.0,2.13,7.15
0.0,2.51,7.15
0.0,2.26,7.15
0.0,2.28,7.15
0.0,2.33,7.15
0.0,2.31,6.06
0.0,2.30,6.06
0.0,2.74,6.06
0.0,2.30,6.06
0.0,2.63,6.06
0.0,2.54,6.06
0.0,2.37,5.17
0.0,2.40,4.42
0.0,2.34,4.42
0.0,2.33,4.42
0.0,2.37,3.81
0.0,2.37,3.81
0.0,2.35,3.34
0.0,2.34,3.34
0.0,2.34,3.34
0.0,2.35,2.94
0.0,2.35,2.61
0.0,2.35,2.61
0.0,2.37,2.26
0.0,2.40,2.26
0.0,2.34,2.26
0.0,2.35,2.03
0.0,2.33,2.03
0.0,2.34,2.03
0.0,2.35,2.03
0.0,2.36,2.03
0.0,2.35,2.03
0.0,2.35,1.83
0.0,2.36,1.83
0.0,2.35,1.83
0.0,2.55,1.68
0.3,2.77,1.68
0.0,2.35,1.68
0.0,2.20,1.68
0.0,2.69,1.62
0.0,2.28,1.62
0.0,2.28,1.62
0.0,2.31,1.62
0.0,2.36,1.62
0.0,2.37,1.62
0.0,2.21,1.62
0.0,2.35,1.53
0.0,2.60,1.53
0.0,2.79,1.53
0.0,2.37,1.53
0.0,2.34,1.53
0.0,2.35,1.4
0.0,2.37,1.4
0.0,2.78,1.4
0.0,2.30,1.4
0.0,2.30,1.4
0.0,2.41,1.4
0.0,2.87,1.4
0.0,2.24,1.4
0.0,2.36,1.34
0.0,2.38,1.34
0.0,2.37,1.34
0.0,2.87,1.34
0.0,2.33,1.34
0.0,2.35,1.34
0.0,2.60,1.34
0.0,2.82,1.34
0.0,2.32,1.34
0.0,2.30,1.29
0.0,2.34,1.29
0.3,2.50,1.29
0.2,2.89,1.29
1.9,2.66,1.29
0.4,2.33,1.29
0.1,2.38,1.29
0.1,2.38,1.29
0.0,2.37,1.29
0.0,2.44,1.29
0.0,2.72,1.29
0.0,2.23,1.29
0.0,2.38,2.28
0.5,2.34,2.28
0.5,2.53,2.28
0.0,2.42,4.62
0.0,2.38,4.62
0.1,2.37,4.62
0.1,2.41,4.62
4.2,2.49,4.62
2.4,2.50,4.62
0.2,2.42,4.62
0.1,2.40,4.62
0.8,2.38,4.62
0.2,2.37,4.62
0.8,2.37,4.62
1.1,2.47,4.62
1.4,2.41,24.74
0.2,2.39,24.74
0.1,2.42,24.74
0.0,2.39,43.89
0.0,2.39,43.89
0.0,2.38,42.95
0.0,2.43,42.95
1.8,2.42,41.6
0.4,2.46,41.6
0.0,2.40,41.6
0.0,2.38,41.6
0.6,2.52,41.6
0.0,2.51,41.6
3.6,2.39,53.66
0.2,2.46,53.66
1.8,2.55,53.66
0.2,2.59,53.66
0.6,2.46,53.66
0.1,2.95,53.66
0.0,2.48,56.93
0.0,2.90,56.93
0.5,2.30,56.93
0.7,2.34,56.93
1.5,2.67,56.93
1.8,2.95,56.93
3.4,3.13,56.93
2.2,3.01,56.93
0.0,2.56,56.93
0.4,2.39,56.93
0.8,2.42,56.93
2.5,2.79,85.35
2.5,3.07,85.35
0.7,3.17,85.35
0.3,2.77,85.35
1.6,2.30,85.35
3.8,2.41,85.35
0.3,2.55,85.35
0.0,2.86,85.35
0.0,3.24,85.35
0.7,2.39,110.84
1.7,3.06,110.84
0.0,3.27,110.84
3.7,3.15,110.84
0.8,2.66,154.8
0.0,2.74,154.8
0.0,2.89,220.66
0.8,3.13,220.66
0.0,3.38,220.66
0.0,3.07,220.66
1.3,3.19,179.4
0.0,3.27,179.4
0.0,3.44,162.97
0.0,3.40,162.97
0.0,3.36,162.97
0.1,3.33,162.97
0.2,3.38,162.97
0.4,3.48,162.97
0.3,3.41,162.03
0.2,3.33,162.03
0.1,3.32,162.03
0.0,3.56,162.03
0.2,3.49,162.03
0.2,3.45,162.03
0.6,3.46,162.03
1.3,3.50,162.03
1.3,3.57,162.03
2.6,3.56,162.03
1.6,3.48,232.65
0.2,3.62,362.38
2.1,3.62,362.38
2.5,3.61,362.38
2.5,3.64,362.38
1.8,3.71,362.38
0.0,3.78,362.38
0.0,3.77,362.38
1.2,3.75,362.38
0.3,3.84,362.38
1.0,3.87,463.92
0.4,3.90,463.92
0.1,3.94,463.92
1.2,3.98,463.92
0.0,3.99,463.92
0.0,4.00,463.92
0.0,4.01,463.92
0.0,4.03,463.92
2.1,4.05,463.92
0.5,4.23,615.43
2.8,4.27,615.43
0.0,4.37,615.43
0.0,4.42,378.52
0.0,4.44,378.52
0.6,4.57,378.52
0.1,4.59,378.52
0.0,4.72,344.82
0.0,4.75,344.82
0.0,4.76,344.82
0.0,4.85,344.82
0.3,4.88,344.82
0.0,4.96,272.09
0.0,4.97,272.09
1.1,5.01,272.09
0.1,5.06,272.09
2.2,5.11,272.09
1.4,5.12,272.09
0.6,5.13,268.62
0.0,5.20,268.62
0.2,5.23,268.62
0.0,5.23,268.62
0.0,5.26,268.62
0.0,5.26,268.62
0.0,5.27,268.62
0.0,5.29,292.64
0.0,5.29,292.64
0.0,5.32,292.64
0.0,5.32,292.64
0.0,5.33,292.64
0.0,5.33,292.64
0.2,5.38,296.47
0.1,5.38,296.47
0.1,5.39,296.47
0.1,5.38,296.47
0.1,5.40,296.47
0.1,5.40,296.47
0.4,5.41,296.47
0.0,5.41,345.28
0.1,5.42,345.28
0.0,5.42,345.28
0.0,5.42,345.28
0.3,5.42,345.28
0.0,5.41,345.28
0.0,5.41,345.28
0.0,5.41,345.28
0.0,5.40,345.28
0.2,5.40,379.33
3.6,5.39,379.33
1.3,5.39,379.33
0.2,5.40,379.33
1.3,5.39,379.33
0.3,5.39,379.33
0.0,5.38,379.33
0.0,5.38,379.33
0.0,5.38,388.12
0.0,5.38,388.12
0.0,5.37,388.12
0.0,5.37,388.12
0.3,5.37,427.68
0.0,5.38,427.68
0.0,5.38,427.68
0.0,5.38,427.68
0.0,5.39,427.68
0.3,5.41,407.61
0.0,5.42,407.61
0.0,5.42,407.61
0.0,5.45,337.11
0.0,5.45,337.11
0.0,5.44,337.11
0.0,5.44,337.11
0.0,5.44,337.11
0.0,5.44,337.11
0.0,5.43,337.11
0.0,5.42,292.54
0.0,5.41,292.54
0.1,5.40,292.54
0.0,5.39,292.54
0.0,5.40,292.54
0.0,5.39,292.54
0.0,5.39,292.54
0.0,5.37,258.52
0.0,5.37,258.52
0.0,5.36,258.52
0.2,5.35,258.52
0.2,5.33,258.52
0.0,5.33,233.16
0.0,5.26,233.16
0.0,5.24,233.16
0.0,5.23,233.16
0.0,5.20,214.42
0.0,5.18,214.42
0.0,5.17,214.42
0.0,5.10,214.42
0.0,5.08,214.42
0.0,5.05,214.42
0.0,4.99,198.07
0.0,4.96,198.07
0.0,4.92,198.07
0.0,4.76,181.39
0.0,4.73,181.39
0.0,4.70,181.39
0.0,4.54,166.59
0.0,4.50,166.59
0.0,4.33,152.82
0.0,4.27,152.82
0.0,4.08,138.96
2.9,3.99,138.96
0.1,3.99,138.96
0.0,3.96,138.96
0.0,3.90,132.82
0.0,3.73,131.13
0.0,3.72,131.13
0.2,3.55,145.75
0.4,3.51,145.75
0.1,3.37,177.78
0.1,3.34,177.78
0.2,3.47,177.78
0.2,3.45,177.78
0.0,3.38,177.78
0.0,3.33,201.57
0.0,3.21,201.57
0.0,3.19,201.57
0.0,3.18,138.96
0.0,3.18,138.96
0.3,3.08,138.96
0.7,3.07,139.66
0.0,2.99,139.66
0.1,3.00,139.66
1.1,3.11,139.66
0.0,2.98,139.66
0.0,3.03,148.67
0.1,2.99,148.67
0.0,2.88,148.67
0.0,2.88,148.67
0.0,2.90,148.67
0.0,2.95,154.52
0.0,2.92,154.52
0.0,2.85,154.52
0.0,2.87,154.52
0.0,2.92,154.52
0.0,2.87,154.52
0.0,2.89,164.96
0.0,2.84,164.96
1.4,2.94,164.96
3.9,2.92,164.96
3.3,2.90,164.96
0.3,2.85,164.96
0.0,2.98,190.12
0.0,2.89,190.12
0.0,3.06,190.12
0.0,3.05,190.12
0.0,2.98,190.12
0.0,2.92,190.12
0.0,3.07,223.97
1.8,3.02,223.97
0.9,3.30,223.97
0.4,3.29,223.97
0.0,3.15,298.13
0.0,3.19,298.13
0.0,3.30,298.13
0.0,3.26,298.13
3.4,3.43,298.13
0.6,3.49,505.88
2.2,3.60,505.88
1.3,3.65,505.88
1.2,3.99,743.08
0.4,4.04,743.08
1.3,4.08,743.08
1.7,4.15,743.08
0.5,4.21,743.08
0.1,4.23,743.08
0.1,4.37,743.08
1.1,4.53,743.08
0.0,4.78,674.49
0.8,4.95,674.49
0.0,5.09,674.49
0.0,5.12,674.49
0.0,5.15,674.49
0.0,5.31,628.73
0.0,5.40,628.73
0.0,5.42,628.73
0.0,5.48,628.73
0.0,5.49,628.73
0.0,5.53,628.73
0.0,5.59,628.73
0.0,5.60,628.73
0.7,5.62,628.73
0.5,5.63,628.73
0.1,5.80,496.33
0.0,5.85,496.33
0.0,5.85,496.33
0.0,5.87,496.33
0.0,5.90,391.64
0.0,5.93,391.64
0.0,5.94,391.64
0.0,5.95,391.64
0.0,5.98,391.64
0.0,6.01,391.64
0.0,6.02,391.64
0.0,6.03,391.64
0.0,6.03,391.64
0.0,6.05,334.74
0.0,6.06,334.74
0.0,6.06,334.74
0.0,6.07,334.74
0.0,6.07,334.74
0.0,6.08,334.74
0.0,6.08,334.74
0.0,6.08,291.42
0.0,6.07,291.42
0.0,6.06,291.42
0.0,6.03,291.42
0.0,6.01,258.42
0.0,6.01,258.42
0.0,5.99,258.42
0.0,5.93,258.42
0.0,5.91,258.42
1.9,5.88,258.42
1.9,5.87,233.88
0.1,5.84,233.88
0.0,5.79,233.88
0.1,5.76,233.88
0.0,5.73,233.88
0.0,5.72,233.88
0.0,5.71,233.88
0.0,5.69,233.88
0.0,5.64,216.36
0.0,5.63,216.36
0.0,5.61,216.36
0.0,5.59,216.36
0.1,5.57,216.36
0.1,5.55,216.36
0.1,5.52,216.36
0.0,5.46,216.36
0.0,5.45,216.36
0.0,5.39,200.11
0.0,5.35,200.11
0.0,5.33,200.11
0.0,5.22,187.82
0.0,5.21,187.82
0.0,5.17,187.82
0.0,5.10,187.82
0.0,5.08,187.82
0.0,5.02,187.82
0.1,5.01,187.82
0.0,4.91,174.39
0.0,4.88,174.39
0.0,4.87,174.39
0.0,4.85,174.39
0.0,4.83,174.39
0.0,4.81,174.39
0.0,4.76,160.81
0.0,4.62,160.81
0.0,4.51,146.23
0.0,4.50,146.23
0.0,4.48,146.23
0.0,4.46,146.23
0.0,4.35,132.97
0.0,4.27,132.97
0.0,4.22,132.97
0.1,4.11,123.74
0.0,4.10,123.74
0.1,4.06,123.74
0.0,4.02,123.74
0.1,3.89,118.82
0.0,3.83,118.82
0.0,3.78,116.71
0.0,3.77,116.71
0.0,3.76,116.71
0.0,3.65,116.71
0.0,3.66,116.71
0.3,3.58,131.97
0.0,3.67,131.97
0.0,3.57,131.97
0.0,3.53,131.97
0.1,3.54,140.72
0.8,3.46,140.72
0.6,3.45,140.72
0.1,3.49,140.72
0.0,3.42,140.72
0.8,3.48,140.72
0.7,3.48,140.72
0.0,3.43,165.04
1.7,3.35,165.04
0.0,3.41,165.04
0.1,3.32,229.02
0.0,3.39,229.02
0.1,3.37,229.02
0.0,3.32,229.02
0.0,3.31,225.83
0.0,3.36,225.83
0.0,3.33,186.48
0.0,3.32,186.48
0.0,3.37,186.48
0.0,3.37,186.48
0.0,3.33,186.48
0.0,3.38,173.05
0.0,3.36,173.05
0.0,3.37,173.05
0.0,3.36,173.05
0.0,3.36,159.46
0.0,3.42,159.46
0.0,3.38,144.86
0.0,3.40,144.86
0.0,3.40,144.86
0.0,3.43,144.86
0.0,3.45,144.86
0.0,3.39,130.52
0.0,3.40,130.52
0.0,3.46,130.52
0.0,3.44,130.52
0.0,3.37,119.78
0.0,3.45,119.78
0.0,3.45,119.78
0.0,3.35,119.78
0.0,3.33,116.22
0.0,3.45,116.22
0.0,3.37,116.22
0.0,3.47,116.22
0.0,3.32,105.17
0.0,3.20,93.62
0.0,3.42,93.62
0.0,3.48,93.62
0.0,3.20,93.62
0.0,3.42,93.62
0.0,3.42,93.62
0.0,3.38,93.62
0.0,3.26,83.72
0.0,3.16,83.72
0.0,3.14,83.72
0.0,3.43,83.72
0.0,3.30,83.72
0.0,3.42,78.59
0.5,3.29,78.59
0.0,3.15,78.59
